profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
Pauline S,377,211,Afternoon tea,[4.0],"We arrived at 5.30 and to be honest it felt a bit rushed, staff were efficient, it felt really packed in, next doors table was so close, we were nearly joined on, the pianist was playing for 5 mins then he was gone never to return, on booking we were asked if it was a special occasion and we said it was our 46th wedding anniversary, but we were disappointed, as we weren't acknowledged in any way, so why bother asking in the first place the food was nice", March 2016, Travelled as a couple
daaisybrook,10,2,Christmas in London,[5.0],"Visited the Ritz with my family mid December. A trip we will never forget; staff were brilliant, beautiful hotel, amazing service and all in all unforgettable. Hopefully we will visit once again when we save up our pennies again! Would recommend this beautiful and iconic hotel to anyone. Once in a life time experience. P.s. Don't forget to visit The Wolseley just opposite! Thank you,Daisy Brook", December 2015, Travelled with family
Paul T,96,31,As good as it gets,[5.0],It is without doubt the best hotel I have ever stayed in. The check in is ultra slick.the staff are very friendly and the suite we had was excellent. The hotel is ultra luxury. The Ravioli bar is intimate and cosy and a treat to experience. The location is fantastic as you are right in the heart of the West End with restaurants and theatres all within an asy walk. A fabulous experience although not cheap. Paul, October 2015,nan
joanne8Kent,16,7,The Fabulous Ritz,[5.0],"Wow lives up to its fabulous reputation, friendly, efficient staff and everything you'd want from an iconic London hotel. Beautiful surroundings, professional staff and prompt service. The attention to detail in the rooms was amazing, slippers for the children, Kids at The Ritz pack and free ice cream! Everywhere you go in the hotel the staff are attentive and really make you feel special and comfortable. Cannot recommend enough!", March 2016,nan
Paul M,88,13,Super surprise kept secret form my girlfriend for months!,[5.0],"This was a "" one off the bucket list"" ! I booked this 8 months ago and managed to keep this from her for that long, goodness knows how! Walking in you are just blown away by the opulence of the hotel. Walking through to the Palm Court you can do nothing but admire. We were asked to put our coats in the cloak room and were then shown to our table. There is a menu on the table but that is just for reading there is nothing to really order apart from your blend of tea. You are given a cake stand with an array of 5 flavours of sandwiches and cakes, and also informed that there will be scones and a sliced cake too. We also ordered a glass of champagne each too!  All the food was beautifully presented and taste just as good. Service was as expected, very attentive but the waiters were…", March 2016,nan
Abby S,77,7,Absolutely Lovely!,[5.0],It was wonderful to stay at the Ritz for five nights. We were a group of three adults (mom and two adult children in their 20s) and we stayed in the Junior Suite which was wonderful. The Ritz has truly spoiled me for life! I'll never want to stay anywhere else! The room was lovely (although the toilet was a bit fiddly). The staff was marvelous! We had a great time chatting with Desmond every night when we came to get our key after a day of adventuring in the city and it was so lovely interacting with the doormen! Also Desmond mapped out our last day in London and recommend some really interesting places we would have missed otherwise! The room service was impeccable (I especially recommend getting room service for breakfast). No other hotel is as luxurious and welcoming as the…, May 2015,nan
Pseven,21,4,Each visit is a great experience,[5.0],"I enjoy spending time here with friends and family.  The Ravioli Bar is nice even though small, or lets say cute! The dinner  and lunch are both enjoyable and the pianist is always a joy to listen to in a beautiful environment. I look forward to my next booking....", November 2015,nan
Sylvia N,8,3,A wonderful experience,[5.0],"I took my two daughters for afternoon tea as a surprise for my eldest daughter who was celebrating her 40th birthday .  I would recommend the experience to anyone, it was amazing!  The ambiance, the service the wonderful staff that looked after us. We had a day we'll never forget and hopefully perhaps return to do it all again . A big thank you to the Ritz for a very memorable day .", March 2016,nan
Aquaeee,1,0,Unexpected stays,[5.0],"My first time in London, but some reasons pushed my schedule back. so I had to now choice but stay London for two more days to catch my flight back to home. I told the driver take me to a nice hotel in London (my company covered my hotels, but not for these extra two days). He told me Ritz stands for London and took me to here. Enjoy the stays with Ritz, everything is excellent. Love the old fashion elegant and ""royal service"". Definitely will come back.", February 2016,nan
Nandarane Naina P,24,9,Afternoon tea,[5.0],"Afternoon tea caters well for vegetarian and vegans. Ritz is situated in Mayfair and a perfect place to stop to eat whether shopping, sight seeing or celebrating with loved ones. Large selection of teas and great vegan scones", September 2015,nan
Akohli107,10,10,Overrated,[4.0],"People may think highly of the ritz but it is no different to any good hotel. it may seam fancy But really it is not bad but not as good as others reviews may seem it is not fantastic, it will get there! go to the Westbury, London value for money is great.", December 2015,nan
Ian D,269,120,Truly special,[5.0],"I saw the Ritz philosophy posted somewhere -- with lines like ""friendly but not familiar"", and ""excellent service but not servile"" and doubted that it could be delivered. I was wrong. All staff are charming and deliver excellence. As residents you feel special, even more special (if possible) than the many that just come for a drink or afternoon tea. The rooms are not huge but are perfectly fine and well equipped. They do not have in-room tea and coffee would be my only criticism. The beds are sumptuous, the towels soft. We stayed 3 nights on the 2nd floor and overlooked the busy Piccadilly - but only in the dead of night when I woke could I hear anything - and that was a police siren faintly in the background. We had a burger in the bar one night which was lovely, and did the…", March 2016,nan
Julie S,76,32,Birthday treat,[5.0],"Had a lovely 2 night stay at the Ritz. We are very normal working class people and was a little worried about the snobbery element. No need to worry the staff treat you like royalty regardless. Remembering your name after their first greeting , the service is second to none. Very luxurious furnishings. We had breakfast which was delicious as was the evening meal we had. Portions seem small but surprisingly filling and you don't leave hungry! Only criticism would be the price of the drinks which don't encourage you to stay in. We don't mind paying for something special but not for ordinary beer etc. On the whole though a thoroughly fabulous experience.", March 2016,nan
CityFolks777,265,165,The Rizt - top of the league!,[4.0],"Very truly the Ritz culture - service with a passion. Had a very memorable time staying at the Ritz London. The hotel is too posh and the room is spectacular. But above all, it is the staff that make your stay memorable. They are so efficient and attend to every detail of the need of their guest.", November 2015,nan
NYCDesign78,184,143,Had a lovely stay,[5.0],"A great old world hotel with impeccable service.  Fantastic location.  Not the place if you're looking for hip and trend-setting but a wonderful oasis of civility, it is.  Only spot I would improve is the speed of housekeeping.  Don't think that putting that sign on your door will do anything.  If you want them to make up your room, know that you'll have to call.", March 2016,nan
Dipesh G,10,15,Truly Ritz !,[5.0],The excellent experience continues thanks to LHW commitment. The Ritz London truly stands out in terms of the hotel location / heritage building / over all customer experience and all this is possible only thanks to the exceptional team working at the hotel. The team is always smiling even if you reach the hotel very late at night and are eager to greet you with your Last name always !! Small details are minutely looked after to make you feel special and make your stay stress free and a pleasure. I would rate the hotel experience close to my all time favourite LHW property in Paris (The Lancaster) ... This hotel Should be your first choice in London if you want quality service !!, March 2016,nan
PhilCopelandUK,13,20,Truly a five star hotel,[5.0],We have just spent two nights at the Ritz and it has reminded us just how good this hotel is. In the last two or three years we have stayed at a few top London hotels such as Claridges and The Savoy and this in our opinion is the best of them all.  From the time you arrive until the time you leave the staff treat like you are returning Royalty. It's really nice to be made to feel that welcome and special these days especially in a major city.  It's not surprising that armies of people wait months to come here for the afternoon teas.  You also need to have breakfast here if you want a real treat. You can't buy a meal that good in a place as spectacular as their dining room for the cost anywhere else in London.  A stay at the Ritz is a treat of pure luxury., March 2016,nan
SabinaMariecouture,6,0,Regal  ..,[5.0],"We have stayed in Ritz London few times and every time is equally fantastic from spectacular room suites to high end service. ""Tea at the Ritz"" is a must to try at least once, beautiful event but it has to be scheduled and it's very hard to get a spot but it's worth the trouble. Truly regal experience. ", May 2015,nan
Ken B,61,33,Fantastic Service and superb rooms,[5.0],We have just stayed two nights at the Ritz and had a most wonderful experience. From the moment we drew up outside every member of staff we encountered was  freiendly and polite and took an interest in you as an individual Nothing was too much trouble for all the front of house team and we felt completely relaxed in the superb atmosphere of this top class hotel Our room was spacious immaculately clean and had all the facilities we needed. The turning down service in the evening was excellent and gave you a lovely warm feeling when returning later at night The Rivoli Bar is a must visit place for a cocktail, March 2016,nan
Fabchick,71,23,"Fabulous, fabulous, Fabulous!!",[5.0],"My friend and I had dinner in the Ritz restaurant for my friends birthday. The setting is luxurious, opulent and just gorgeous. We were made to feel really special, the service was excellent and really attentive. I am vegetarian yet I still had a good choice, all the food was well presented and delicious even the bread! They brought a small birthday cake for my friend and presented it in a beautiful box so she could take it home. It's on the pricey side but worth every penny, perfect for a special occasion.", March 2016,nan
dlaws50,40,20,Birthday afternoon tea,[4.0],"Fantastic experience sandwiches and cakes delicious. Opulent surroundings worth going,, though expensive and maybe slightly rushed for next sitting to come in. Intentive service great for a special treat.", December 2015,nan
NiuNiuJunior,189,6,Afternoon tea!!,[5.0],"One of my list in London is to try the traditional British afternoon tea. I made reservation  couple months ahead. The service is excellent , food is wonderful, also I got a cute birthday cake from them. What a Fabulous day! London is not Cheap but having a great experience is definitely worth the money. :D", September 2015,nan
HighTimbers,314,163,Always Special...Always the Ritz,[5.0],"I have been staying at the Ritz for over 20 years while in London.  There is always something very special about your Ritz experience that starts with the doorman and gets really personal as you approach the Hall Porters.  Michael, the head Hall Porter/Concierge has been at the Ritz for over forty years and is the best in all of London. Tony has been there for over 30 years and it goes on and on.   They make you feel at home, treat you with respect and above all respect your privacy, which is a trademark of this small, elegant hotel where the Royals and other luminaries come and go with anonymity.  The rooms are nothing short of old world elegant.   Room service is limitless and promptly served on English Bone China.  Bathroom faucets are gilded in gold as are various parts of…", March 2016,nan
Jonny H,69,16,Afternoon (tea) Delight!,[5.0],"Had the celebration afternoon tea here in February and so glad we decided to come! I did hear that the service wasn't as good as say 10 year ago but that wasn't the case, everything was perfect.  It was my girlfriends birthday that day and I ordered the top end afternoon tea package for the occasion and it was so impressive. Service was excellent, choice of sandwiches was the standard ones but they were incredibly tasty. They even brought the birthday cake out with the piano playing and the waiter singing!   We had a table around the edge and this made it all the better as we got a great view of the whole restaurant. You wouldn't do this every month but definitely do it again this year for an occasion.", February 2016,nan
Casadeflores,38,16,Easter family trip,[5.0],Our hotel of choice when in London.  Upgraded to Berkeley suite.  Always excellent service.  Breakfasts good.  Bar good.  Afternoon tea was unavailable when I tried to book online beforehand but they found us a table and it was scrummy!, April 2015,nan
Glyn B,13,4,Pure indulgence,[5.0],"oh what a night!!! We had a voucher and offset it against the tasting menu, every course and each glass of wine ramped up the overall experience and added to the sheer class and history of this majestic venue. The dining room looks incredible and invites you to buy into the overall experience, there are staff everywhere but the will not hassle or hurry you and will ensure that you enjoy the evening. This is not a cheap night BUT everyone should push the boat out at least once, ENJOY ! thank you THE RITZ !", December 2015,nan
Jo01,26,13,Step back in time,[5.0],"Fantastic check in, fantastic staff in a fantastic location. This is not a modern hotel with bedrooms that have creaking floorboards and an old fashioned look. The breakfast room and the breakfast is a treat in itself, with formal dress on the staff and the best food I have ever had.   The bar is very small and removed from the main area which is a pity, the bar menu was limited and not very warm.   Afternoon tea is exceptional but you must follow a dress code which is only fitting for a hotel like this. Cannot wait to go back.", December 2015,nan
NorwichSteve,267,96,"Superb food, amazing service",[4.0],"Went to the Ritz for a pre-theatre dinner. The menu is quite limited (I guess to keep everybody moving along, and not be late for the theatre) but the food was very tasty, with great care and attention to detail. Our waiter was very good indeed - he was quite inexperienced and obviously very nervous but that was fine and all added to the experience - he was excellent. As I mentioned the early dinner menu at the Ritz is limited but we easily found something we enjoyed - my only grumble would not be aimed at the restaurant but at the website (Lovetheatre) I booked the package through. The ad for this package showed a much wider choice of menu and I do feel we were misled when booking. No complaints at the Ritz though - would love to go back - thoroughly recommended.", February 2016,nan
Edward,164,101,Nice mini break,[4.0],"We recently stayed in the Ritz for the first time due to our first choice hotel being full. The people / staff make or break any business and the Ritz have great staff. The door staff are great which sets the tone are are quickly followed up by the really professional and charming reception staff who could not do enough to help. Our upgraded room was nice ,big and traditional . We met friends at the bar prior to dinner and again were impressed by the staff who have to cope with large numbers of visitors visiting the bar and tea rooms. Breakfast is a delight and not to be missed .The fair on offer is varied and prepared perfectly in a room that is lovely and again served by staff who are on top of their game and friendly. Staying in London you cannot go wrong if you choose the…", February 2016,nan
rainbowrover2011,380,208,Friends special birthday ,[5.0],"We stayed for a friend's birthday and booked the 'puttin on the ritz' package.  Having stayed at the ritz a couple of times,  the magical feeling of entering the palm court has never left me. It truly is a beautiful room with a delightful afternoon tea experience.   Our room was elegant and luxurious - gorgeous toiletries and a deep bath to die for.  I love the quirky lift with the gorgeous design.   Overall our experience was perfect on every level. Service, accommodation , food, location, satisfaction.   Absolutely recommended! ", October 2015,nan
Sam P,34,21,"The most down to earth friendly environment, so pleasent",[5.0],"I attended The Ritz as a birthday present from my husband, a few weeks after having a baby. I felt uncomfortable all dressed up but I wanted to look my best. Upon arrival at The Ritz, we were greeted by a kind doorman who opened the door for us, then we were welcomed by staff in the lobby and directed to where we needed to go. The seating area had a pianist playing Beautifully, the atmosphere was so comfortable and calming, I am not the kind that you would say would fit into the posh environment you would expect from The Ritz but this was so welcoming and pleasant, I felt a million dollars!   Approaching the seating area, we were lead to out table, we had a option of seating, we were bought over a tea menu, seared pleasantly and even light convocation that was not awkward in any…", April 2015,nan
DJHUK12,21,28,Special Birthday Weekend,[5.0],"As someone who is a regular at Sandy Lane Barbados ,this was a box tick weekend and The Ritz did not disappoint. From the checking in to the checking out,  it was pretty much faultless. A complimentary glass of champagne whilst waiting a mere 30 mins for the room to be ready was a wonderful start to the weekend. We had arrange a couple of massages on the 7th floor salon, not long after checking in and they did not disappoint. Rivoli bar to meet friends before dinner at The Wolsey next door was just the tonic.That Wolsey is also worth a visit. Breakfast at The Ritz is spectacular, staff and service is what you would expect ,excellent and well run. Almost as good as Sandy Lane breakfast and that is saying something. Overall every member of staff from the Concierage and Bell boy to…", February 2016,nan
Gina B,53,21,Early Mother's Day treat,[5.0],"Was totally blown away by my experience at The Ritz, went for a champagne afternoon tea. Waiting staff very attentive and polite. Finished the initial finger sandwiches they then bought more. Little cakes were lovely. Champagne not dry and absolutely delicious. Tea served in a huge pot and we had one each. Decor of the Ritz was superb and made me feel like we had stepped back in time but not in an old fashioned way. Smashing!!  Oh to win the lottery.", February 2016, Travelled with family
DaveD78,115,55,Excellent All Round - But Dorchester Rooms Are Marginally Better,[5.0],"Stayed 1 night at The Ritz in London as part of a mixed celebration for my wife's birthday and an unrelated work event. The hotel itself is stunning beyond words and oozes that 'institution' charm. It is, quite simply, a beautiful hotel. Staff were very attentive, very kind, and very welcoming - we couldn't have asked for more in that department. Breakfast was sumptuous, in a beautiful setting - although I did resent the lax attitude to general attire for this restaurant - several patrons were dressed in jogging bottoms and trainers.......not quite what you'd expect at the Ritz! The incredible quality of the food and service more than made up for this slight blemish however. The rooms, whilst well appointed, didn't quite make us 'click' as much as the ones at the Dorchester I'm afraid to say, but this is very much a question of personal taste as everything was clean, comfortable, and generally very pleasant. I would - and will - stay here again.", February 2016, Travelled as a couple
karen091283,4,8,Special !,[5.0],"My husband and 1year old child and I stopped at the ritz for night. Staff were amazing at dealing with my requests via email and even more pleasurable during our stay. On entering our king size room we were delighted on seeing a basket made for my son, with slippers, nappies a teddy and a bath towel. This was a lovely touch! Also a delicious cake for my husband who was celebrating his birthday. We were offered free breakfast with was 5star with everything we could have asked for.I definitely would recommend the ritz if you are looking for pure luxury and a grand stay.Couldn't fault any of the staff, who greeted us always with a smile.Thank you Ritz for a fabulous stay", February 2016, Travelled with family
MissYLW,155,82,Champagne afternoon tea at The Ritz,[5.0],"I visited The Ritz for Champagne Afternoon Tea last week with my friend. He had bought me a gift voucher for the experience which I then booked online. We had to book a few months in advance and even then the only availability was the 5:30pm sitting so make sure you book far in advance!We arrived fifteen minutes ahead of our 5:30 sitting however the concierge were lovely and sent us straight through to the cloakroom. The Ritz is very grand and charming and the first impressions were great. After we put our coats into the cloakroom we were seated at our table. All of the staff were so polite, friendly and attentive, as you would expect from a world-renowned hotel. We were brought the champagne and given a choice of around 13 different teas. The waiter was more than happy to make recommendations on these. We were then brought a selection of sandwiches and cakes, and these were replaced as soon as we finished. We also had both fruit and plain scones with jam and clotted cream. Towards the end of the afternoon tea another waiter went around with a dessert trolley with two more desserts, so make sure you leave some room for these! The waiters will just keep on bringing more food so be prepared to be very full when you leave!There was a pianist playing throughout the experience that really added to the lovely atmosphere. We really enjoyed this and would recommend it as a quintessentially British experience in London. The only slight disappointment was that we wanted to have a drink in the bar after however we were told that we couldn't as it was full and then only open to residents.", February 2016, Travelled with friends
Neil H,19,20,Classic Hotel but very overpriced for what you get.,[3.0],"This is one of the great hotels and there is no arguing about that however I did not particularly enjoy my stay, it left a slightly bad taste in my mouth. Obviously the staff are very attentive however I found their manner slightly condescending.Unlike most luxury hotels you certainly won't find anything ""complimentary"" in this establishment. The rooms themselves can't be faulted but on arrival (we stayed for 3 nights) one finds a ""small"" bottle of mineral water in a plastic bottle priced £6 and an equally priced tiny bag of peanuts that would come free on any but the most budget of airlines. I wouldn't mind paying £6 for a little snack if there was something warranting that price tag; the seeds of a Peruvian cactus that flowers once every 30 years for example of if the water was the melt water of a 10,000 year old Himalayan glacier but they are not. They are just products I could buy at a kiosk close to the hotel for 60p apiece. Just because you have money to stay at the Ritz doesn't mean you don't recognize when you are getting absurdly bad value for money.These days even a humble coffee shop offers free WiFi. I telephoned reception and asked how I could connect to to the Hotel network and was told someone would come to my room. A couple of minutes later a member of staff arrived with quite a large electronic box and some wires and spent some time on his hands and knees connecting various wires and at length, with his finger on a button and a slightly smug look on his face (might have been my imagination) said ""shall I connect you sir? It will cost you £25"". I felt well and truly setup. Of course no guest at The Ritz is going to say no, take it away. The whole pantomime seemed very well rehearsed. In fact the staff come across a lot of the time as seasoned double glazing salesmen who are always trying to push you to part with your money, it did make me wonder whether the staff at The Ritz were on some sort of commission for get the guests to pay for extras the zeal with which they pushed things forward. We had dinner in the Hotel on Saturday night. Again very expensive and nothing special. A band played through dinner and for dancing afterwards. True to form The Ritz makes you pay for the pleasure by way of a £35 cover charge per table for the music. Don't get me wrong, there was nothing wrong with this working band, they were very competent however no different than a host of other restaurant bands playing in other restaurants for no extra cost to the diners. The dining room was large and by my calculation the money raised from the cover charge alone would have been enough to pay for one of London's leading jazz musicians to play through dinner and a separate dance band later.The saying goes ""you get what you pay for""; sadly not at the Ritz, just very overpriced mediocrity. Definitely wouldn't stay there again.", June 2015, Travelled with family
Elaine E,91,35,pre theatre 3-course dinner,[5.0],"We bought an offer from lovetheatre.com for 3 course dinner and champagne followed by Phantom of the Opera. What a fantastic treat!! The service was impeccable, the waiters wafting around like a finely choreographed dance, bringing all the dishes covered with domes, then removing these at the table with a flourish to reveal the masterpiece beneath. All the portion sizes were tiny, but adequate after the three courses and petit fours. I had chestnut and champagne veloute, followed by melt in the mouth lamb with baby veg and goats curd then vanilla mouselline with blood orange ang grand marnier ice cream, all were amazing.", February 2016,nan
Andreterra1497,4,2,Unparalleled service,[5.0],The Ritz offers unparalleled service standards and has a very dedicated team. The bed was very comfy and the room was absolutely gorgeous. The hotel looks perfect and I seriously recommend to book this hotel if you are looking for luxury., February 2016,nan
Vector1234,133,17,Fantastic place,[5.0],"We had always wanted to visit the Ritz, but were worried it might be a let down How wrong! It was beautiful. Staff amazing, rooms stunning, rivoli bar world class, and afternoon tea to die for. Sebastian in Palm Court deserves a special mention Will definitely be back, thank you Ritz!", February 2016,nan
kryptonic,172,123,Olde world charm great staff!!,[5.0],"First time stay here for a birthday celebration, this place is full of olde worlde type charm, don't expect all the mod cons though-no spa, pool, business centre, it's got a small basic gym, and that's about it , it's very traditional in a good way as long as you know what your getting, plenty of Atmosphere, exceptional staff,  very good (ground floor) main  restaurant in which we took a memorable dinner, very swanky casino in the basement with the vip entrance for hotel residents, and a nice snug bar and cave style restaurant on the same (basement) level absolutely fantastic decor!! We took the executive room, which whilst not large, was that little bit larger than the standard room, with nice feature fireplace, very nice but again very traditional and low tech-but it's all…", February 2016,nan
459daniellah,18,32,Stunning,[5.0],"The Ritz was fabulous. As soon as we walked in the service was excellent and the staff were so welcoming and kind-hearted. We originally booked the deluxe room, but we got upgraded to the junior suite, which was splendid! The room was absolutely gorgeous and the bed was very comfy!!   On Friday night we went to the dinner dance and big band, which was in the main dining room. The food was superb and the service was at a high standard.   I love this hotel so much and I seriously recommend it!! 😄 ", February 2016,nan
ProximoMaximus,187,78,Weekend Break,[4.0],We stayed for a weekend and it was our first time at the Ritz. The service was excellent if slightly stiff at times.   The breakfast was very good and in the lovely setting of the bright dining room. This room is really the only public room with natural light.   Post breakfast there is really no quiet drawing room to read your papers in peace. The main hall/salon is a very busy place with either non residents or live music. This is one criticism I would have of the hotel. You could always read in your room but it's not the same.   Afternoon tea appears to start at about 11am!!  Concierge dept very good. , February 2016,nan
cocktailsandsun,43,34,Perfect Perfect Perfect Afternoon Tea,[5.0],"I was lucky enough to have this beautiful afternoon tea experience as a christmas gift. It really was a truly magical experience from start to finish. The decor has a warm feel and the scent of fresh flowers fills you with such delight. The service was great, with good knowledge of the menu. The quality of the cakes, scones and sandwiches were great. All the food included with the afternoon tea is actually unlimited which was a surprise! Overall I would totally recommend The Ritz for afternoon tea as it really is an unforgettable experience.", February 2016,nan
Jules.1,88,24,Cocktails with friends,[5.0],"This was more about the experience of going into the ritz, than having a very over prized cocktail , 6 friends , visited London and we decided ritz was a must ,just loved it , the place is just class,  nibbles are fresh as you order your drink and not some floppy crisp , would defo go again , for the afternoon tea next time looked yummy ", January 2016,nan
Shaun B,6,7,Afternoon tea,[4.0],"Great traditional afternoon tea. However I was disappointed with the concierge who tried to put me in a private car & charge £130 to Heathrow airport, when the London taxi outside was £70. I would definitely recommend this place if you fancy treating someone special.", February 2016,nan
alejandro n,20,17,"The best hotel at London , superb location",[5.0],"Outstanding service specially from the front desk , lovely and very luxurious property excellent maintenance making it look like new , excellent room space and decor , great experience having breakfast at ballroom , when shiny take advantage of the terrace for a mimosa", July 2015,nan
SueTett,246,95,Tea at the Ritz,[5.0],"Wonderful experience sat in the opulence of the Ritz hotel.Super experience with very attentive staff, our server was Giovani and he had a great sense of humour.Great quality of food and plenty if you want it. Good choice of teas of which you can choose a second flavour later on.Congratulations the Ritz on keeping this tradition going so well .", February 2016, Travelled as a couple
swpratt,680,230,Dress up and enjoy....,[5.0],"The experience begins when you go through the revolving doors and are welcomed by the friendly and extremely professional staff. Service is efficient ,friendly and nicely paced throughout and for an hour and a half or so you can imagine yourself back in a more genteel era. The Palm Court is suitably ornate and the pianist creates just the right atmosphere. All the food was lovely but the stars for me were the scones(warm) and the lovely rhubarb tart served from the trolley.", February 2016, Travelled as a couple
blueminimum,62,19,The original and still the best afternoon tea,[5.0],"Other establishments may offer similar afternoon teas, but The Ritz effortlessly gives you a level of service that I have yet to find anywhere else. It goes without saying that the food is of an excellent quality, but it is the service, surroundings, even the Powder room with its own Ritz tissues that create such a unique experience.", February 2016, Travelled with family
Suzytravels69,42,33,Superb service and lovely food..,[5.0],"The waiters were very attentive, the food was excellent and of course the surroundings were very opulent.  I appreciated that there was no rush by the staff at the end of the meal to ask you to leave.  We were there on a wet Tuesday and I was surprised how crowded the place was .", February 2016, Travelled with friends
Cathyandco,76,52,Afternoon Tea in glitz and glamour!,[5.0],"Took my daughter for afternoon tea and was spectacular! We could finish everything as lots of sandwiches and cakes to choose from. Wonderful atmosphere, harpist playing in background added to the ambience. Staff extremely friendly and helpful. A great experience whatever the occasion. You will need to book up several weeks in advance to secure reservation.", October 2015, Travelled with family
Farseer,441,162,Amazing birthday lunch,[5.0],"As a surprise birthday lunch, this topped it all.  An explosion of taste from start to finish - scallops, poached halibut, and the most amazing Mousseline Vanille.  The waiter shared the knowledge of how to make the latter!  Service exemplary, food wonderful, and the dining room just reeks of class and style!  Loved the urns holding red roses for Valentine's Day as well.", February 2016,nan
veebeedee,107,74,Simply superb,[5.0],"We had a champagne afternoon tea on Saturday and it certainly lived up to all our expectations. The staff were amazing, efficient but charming and the whole experience was delightful. From the moment we were taken to our table we were well cared for and the service delivered was wonderful. The food was of the quality that one would expect from the Ritz, especially the warm scones which were scrumptious. It was a delightful experience and worth every penny. Highly recommended!!!", February 2016,nan
ColinPM,115,45,Fine dining with old fashioned service,[5.0],"The Ritz evening meal with champagne experience was superb. From the friendly doorman opening the door of the taxi to the fabulous cocktails in the Rivoli bar to the exceptional food,  live music and great waiting service this was an experience you could not fault.    Just as long as you are not expecting normal bar prices you won't be disappointed. The decor ambiance staff and whole experience was wonderful.", February 2016,nan
Skh,94,11,Afternoon tea,[4.0],Had a truly amazing experience would definitely recommend visiting the Ritz with family and friends :-) I went for a treat as it was my birthday and I loved every minute of my time at the Ritz. Customer service is amazing the staff are so quick to respond. Definitely an experience to have❤️, February 2016,nan
Charlotte S,50,34,Excellent!,[5.0],"Highly recommended. Stayed here accessing the ""Putting on The Ritz"" package. The staff were amazing. I mentioned it was my birthday, received complimentary champagne in the bar and when we got to the room a small cake and a hand written postcard was there. Afternoon tea was exquisite and plentiful! Turn down was an experience than more hotels should offer. Breakfast, which we had delivered to the room was tasty, and had more food than you could possibly imagine. The room was spacious, clean and pleasant. Considering we were in central London the noise from outside was minimal. I would recommend this experience should be tried once and I would defintely consider doing this again. Thoroughly enjoyed my birthday stay", January 2016,nan
destressing,182,76,The icing on the cake!,[5.0],"Such a special experience book well in advance.....6 months and more.  This really is an experience not to be missed.  Champagne Afternoon Tea at The Ritz for a birthday and wedding anniversary celebration.  We were guided in to the hotel and having arrived early decided on bubbles before hand in the Rivoli  bar.  Note no Prosecco  only Champagne served in beautifully delicate champagne bowl glasses.  Well worth it for the stunning decor and to settle into the whole experience and allowed half an hour before going into tea.    We were seated in a beautiful area with personal introductions from our waiters who calmly handled our particular requests of no cheese and no nuts.  The sandwiches were lovely, scones perfect, probably the best ever had and the fancies.....well we were so…", February 2016,nan
Louise E,60,10,Amazing afternoon tea,[5.0],"I was lucky enough to be invited to join a group of authors for afternoon tea at The Ritz, and it was totally out of this world!  From the second you walk upto the entrance you are treated like royalty, even as just a guest for afternoon tea you are treated with the greatest care and it makes you feel so special.  We were booked into The Wimbourne Room as a private party and got to see the hotel as we were led through, and WOW the room and foyer in the private dining section was just as magnificent.  Super attentive service from the waiters, you also tend to forget they are there until the plates are refilled and you are asked very politely if you would like more tea.  This is a must for anyone who want's to be treated like royalty,  An experience I won't forget.", February 2016,nan
DivaFabulous,61,24,The ultimate London luxury experience,[5.0],I was treated to one of my most opulent stays here with everything from the flower arrangement in the reception area to the personalized cake and champagne and in room breakfast executed to perfection.   The Ritz will always be the Ritz., March 2015,nan
Ive-been-here,41,26,Thank you....just thank you!,[5.0],"WOW!  Just spent a fantastic one night stay here whilst in London to see Cirque du Soleil – Valentines weekend.   We booked one night in a Deluxe Room using air miles and a small amount of money as a once in a lifetime Valentines treat.  However, on arrival, following some fun friendly banter with the gentleman behind the desk, we were offered an upgrade to the Trafalgar Suite (quite a jump), for what I felt was a reasonable fee, compared to the normal rack rate!  I am not going to comment on the suite (see it on-line) nor our overall experience at this hotel as I would sound like a silly giggly school girl!  I could be really picky and ""complain"" that turndown service was missed, that breakfast was “ok” and a bit slow or that you could faintly hear music from another room, but…", February 2016,nan
Cheryl C,24,16,Perfect in every way,[5.0],I had a lovely surprise from my daughter who had booked for us to have afternoon tea at the Ritz for my birthday.  I enjoyed every minute.  The Ritz itself is the most wonderful building and the interior that I saw was to die for.  The service was impeccable and the tea itself was delicious.  All the staff were really friendly and efficient and couldn't do enough for us.  I didn't want to leave and just soaked up the whole experience.  I can't wait for another special birthday excuse to go back!!  Thoroughly recommended for a special treat and thank goodness that such places are there for us to be spoiled., January 2016,nan
David,144,27,Expect the best,[5.0],"What a wonderful experience, we booked the ""Putting on the Ritz"" package direct through the Hotel itself. Which included bed and breakfast champagne on arrival and afternoon tea. The service was world class and cant praise the place highly enough for a teat book the Ritz, we found it excellent value.", December 2015,nan
Sinyaken,64,25,Perfect ,[5.0],I had a lovely time at the ritz and we had cream tea with the best sandwiches I have ever had! Everything was so fresh!   The service is what you pay for! The tea is poured and your needs are met!  I love that you have to dress up and make the most of the experience.   We will visit again very soon  , February 2016,nan
john l,37,20,Birthday lunch,[5.0],Ive celebrated a number of times both afternoon tea and lunch at the Ritz For that special occasion you can not fault it The ambiance is something very special  the staff are attentive and make you always welcome  The food and presentation is of the best Always a joy to visit the Ritz Long may this Grand Lady  continue, February 2016,nan
